Numéro,Artiste,Paroles
57,poopy,"Ny andro moa hariva
Ny masoandro aza efa tolaka
Eny marina satry foana hiara-hilanona
Antenaina fa tsy ho sorisory ny hisarahana
Hirariana koa mba ho soa ny fahatsiarovanao anay
ka izay fotoana niarahana 
hitoetra lalandava ao am-ponay

Ka mandra-pihaona indray
Mandra-pihaona vetivety
Eny na satrinay mbola hitohy foana ny fety
Eny veloma indray ka manantena mbola hihaona
Hiaraka eto indray 
Eny veloma mandra-pihaona

oh, oh, oh
oh, oh oh oh,
oh,  oh oh

Saotra sesehena sy mitafotafo no atolotray
Tsy hadino anie ny fitiavanao
Ka dia isaoranay
Fa ny soa atao levenam-bola
Tsy hanenena a
Ilay Ray ao ambony ao
Hamaly soa anao amin’ny fiananao
Ka izay fotoana niharana
Hitoetra foana ao am-ponay

Mandra-pihaona indray ...        --------"
58,poopy,"Ny andro moa hariva
Ny masoandro aza efa tolaka
Eny marina,satry foana hiara-hilanonana
Antenaina fa tsy ho sorisory no isarahana
Irariana koa, mba ho soa 
Ny fahatsiarovana anay
Ka izay fotoana niarahana
Hitoetra lalandava ao am-ponay

Mandrapihaona indray
Mandrapihaona vetivety, eny na satrinay
Mbola hitohy foana ny fety
Eny veloma indray 
Ka manantena ny  mbola hihaona
Hiaraka eto indray
Eny veloma mandra-pihaona

Saotra sesehena 
Sy mitafotafo no atolotray
Tsy adino anie
Ny fitiavanao ka dia hisaoranay
Fa ny soa atao
Hilevenam-bola tsy hanenenanao
Ilay Ray ambony ao
Hamaly soa anao, amin’ny fiainanao
Ka izay fotoana niarahana
Hitoetra foana ao am-ponay

Yeah !! Yehh ! Yeah ! Yehh ! Yeah !!!!!
Mandrapihaona...        --------"
59,poopy,"Oh lay eh lay eh Oh lay eh lay eh lala

Tiako toa hahatamana
Iriko hanana fahafahana
Tiako nefa sarotra alaina
Iriko hanana fiadanana

Hitako sary ao an-tsaina ny fahasambarako
Tsy misy hisasarako fa efa misy an'izay hifaharako
Tsy hisy intsony ny zavatra izay manahirana ahy
Ny saiko milamina tsara, ny saiko efa mirana

Eh, faly tokoa raha mba afa-mivoatra
Fa izay ananana tsy ampy loatra
Tsy afa-maninona tsy afa-manohatra
La lalalalalala lala

Tsara efa ela niriko 
Ah han. Hanana ny mba tiako
Tsara efa ela niriko 
Ah han. Hanana ny mba tiako

Hitako sary ao an-tsaina ny fahasambarako
Tsy misy hisasarako fa efa misy an'izay hifaharako
Tsy hisy intsony ny zavatra izay manahirana ahy
Ny saiko milamina tsara, ny saiko efa mirana

Eh, faly tokoa raha mba afa-mivoatra
Fa izay ananana tsy ampy loatra
Tsy afa-maninona tsy afa-manohatra
La lalalalalala lala

Oh lay eh lay eh Oh lay eh lay eh lala        --------"
60,poopy,"foiko ho anao, tsy manahy
tsisy nenina, tsisy alahelo
izay rehetra, nomeko anao
efa ampy, mahafaly ahy
zay rehetra niaraha nizara
izay foinao, nomenao ahy

aoka izao raha toa tsy anjara
ka ianao hivalona ho tantara
ho adinoiko ny ratsy ho fafana
tsy ho tsaroana afatsy ny tsara
mbola tavela ny mamiko rehetra
mbola mitoetra tsy misy hahavono 
ao antsaiko ao
mbola tavela ny mamiko rehetra
lasa ianao
fa ianao ihany no lasa  
ianao no lasanao

lasa ianao, eto ihany ao
tsy maninona, tsisy alahelo
fa tsy mety izaho sy ianao
ie ie
niova lasy, tsisy anao
fiainana hafa, fitia vaovao
izay ndray, zay no hatao

aoka izao ....... no lasanao        --------"
61,poopy,"Dadah : Tsaroako ny niatombohanao 
                Zazazaza fihetsika Zazazaza feo
                Toa tsy noheverina ny hotafaraka
                Na dia mitovy tsy sahala ny kantotsika roa

Be ny fahagagana aterany 
Izany no hahalalana ny heriny
Androtoko tsy mitovy aza natambany
Toy izao anio izao miara-mihira no anao

Poopy : Mbola tsaroako toa tsindrin-daona ery
                Miomankomana maraina hijery anao
                Ireo hirahiranao latsaka anatiko
                Niara-nitombo tamin’ny taona nankafiziko

Be ny fahagagana aterany 
Izany no hahalalana ny heriny
Na ny nofinofy aza tanterany
Toy izao anio izao miara-mihira no ao

Miaraka : Mateza maharitra tsy hita faritra
                Tafaray avokoa ny izao sy taloha
                Tantarainy ao avokoa ny ratsy sy ny soa
                Ny hirahira izay tena hafa tokoa

(Solo instr)

Fafah : Mba toa anao koa izahay, tamin’ny andronay 
                Mazoto mandeha ery, hijery hankafy
                Izao mba anjaranay ny mampihira indray anao
                Mampiara-peo anio hirahira no atao

Be ny fahagagana aterany
Izany no hahalalana ny heriny
Na ny nofinofy indraindray tanterany
Toy izao anio izao miara-mihira no ao

Miaraka : Mateza maharitra tsy hita faritra
                Tafaray avokoa ny izao sy taloha
                Tantarainy ao avokoa ny ratsy sy ny soa
                Ny hirahira izay tena hafa tokoa

(Solo instr)

Tena hafa tokoa…
Miara mihira miara mikalo
Miara mihira miara mikalo
Miara mihira miara mikalo        --------"
62,poopy,"Avelao aho eto anio
Hitanisa aminao
Ny bitsik’io foko io
Fa misy toy zao
Nandalo tao ny tadio
Fa tsy nahafafa anao 
Hay moa io foko io
Efa voatombokao hmm...hmm...hmm... 

Réf:
Izay tontolonao 
Tsy maintsy misy ahy o o 
Fa misy banga izay atao
Raha toy ny iray tsy ao, tena iray
Fa natao hifameno
Tsy afa-misaraka o o 
Izay no efa voasoratra
Iray izaho sy ianao

Eny olombelona izaho
Ka lehilahy ianao
’Lay taolan-tehezanao
Tsy hafa fa izaho
Raha hira iray izaho sy ianao
Dia miainga amin’izao
Hoe feon-kira ianao 
Izaho no tononao

Réf ....

Raha toa ka tsiky :) aho
Ianao no antony
Raha toa ka vetsovetso aho
Avy eo imolotrao no ipoirako.

Réf ....        --------"
63,poopy,"Aoka re tsy ho tsiniko
Ry Tompoko Andriamanitro 
Ny teniko sy ny fitarainako
Eny fantatro tsara moa
O ry Tompoko Andriamanitro ny andrasanao
Tokony haharitra aho!
    
   Nefa fantatrao ny ao am-poko izao
   Fa mitady hanjaka ao ny ratsy
   Te hamaly anao hoe ahoana moa no hangina koa
   Fa ianao hiankinako tsy hitako
   Ka iantrao fa inona moa zahay anatrehanao
   Mba iantrao diovy ny fonay
   Sitrano ny ahiahy arovinao zahay

         Ref: Efa fantatrao fa mpanota aho
              Nefa mbola miantso anao
              Ry Tompoko Andriamanitro
              Fa amin’iza moa no hitarainako
              Raha maizina ny fiainako tsy ho aminao
              Tompoko e!fantatrao
              Ny fo sy fisainanay e tsinotsinona
              Mba iantrao avy amin’ny teninao
              Sitrano ny ahiahy
              Arovinao zahay
    Aza ela ry Tompoko afaho ny zigako.


                                        (Album:Tahak’izay)        --------"
64,poopy,"Aoka re tsy ho tsiniko 
Ry Tompoko Andriamanitro , ny teniko sy ny fitarainako
Eny fantatro tsara moa 
O ry Tompoko Andriamanitro ny andrasanao 
Ka tokony aharitra aho


      Nefa fantatrao ny ao am-poko ao
      Fa mitady hanjaka ao ny ratsy
      Te hamaly anao hoe ahoana moa no angina koa
      Fa ianao iankinako tsy hitako
      Ka iantrao fa inona moa izahay anatrehanao
      Mba iantrao diovy ny fonay
      Sitrano ny ahiahy arovinai zahay


                Efa fantatrao fa mpanota aho
                Nefa mbola niantso anao
                Ry Tompoko Andriamanitro
                Fa amin’iza moa no hitarainako
                Raha maizina ny fiainako tsy ho aminao
                TOMPOKO 
                E fantatrao,ny fo sy fisainanay 
                E tsinontsinona
                Mba hiantrao avy amin’ny teninao 
                Sitrano ny ahiahy
                Arovinao ’zahay


            AZA ELA RY TOMPO AFAHO NY ZIOGAKO



Auteur:POOPY
Compositeur:NAIVO        --------"
65,poopy,"Vao teraka ny Zanak’Andriamanitra ka mifalia

Mihaino, mihaino
Ny feon’Anjely sambatra 
Milaza fa vao teraka 
Ny zanak’Andrimanitra
Mihaino izao,  mihaino izao

Mifalia,  mifalia
Ry Zanak’Olombelona
Fa tonga ilay mpanavotra
Antsika izay mifahantotra
mifaly izao mihifaly izao

Vao teraka ny Zanak’Andriamanitra ka mifalia

Matokia, matokia
Ka manarah’ Azy izao
Ilay mpamonjy be fitia
Nanetry tena ho Anao Izy
Matokia  izao,  matokia izao

Mifalia izao, mifalia izao

Matokia izao, matokia izao

Vao teraka ny Zanak’Andriamanitra ka mifalia

Album Best of évangéliques        --------"
66,poopy,"Hey, avelao hanaraka anao any aho
Fa aza avela hitoetra tsy anilanao
Zaho tsy hanelingelina tsy haninona
Fa hipirina
Tsy hanankorotana tsy haninona
Fa hangina ihany

Fa raha tianao
Hanaraka anao any aho
Dia minoa ahy ianao
Fa ts’isy hanenenanao
Zaho tsy hanankorotana tsy haninona
Fa hampiadana anao
Tsy hanelingelina ’zaho f’hampilamina anao

Fa hanaraka anao foana aho
Na aiza tany misy anao
Tsy avelako ho irery ianao
Sao ho tratran’ny faka-panahy
Ny ratsy tsy kely làlana
Ka tsy ho avelako irery ianao
Dia hilamina izaho sy ianao
Tsy misy ny ahiana hifamaofao
Fifaliana fahasambarana no iarahana, iarahana

Hey, avelao, hanaraka anao any aho
Fa raha tianao hanaraka anao any ho
Ka hilamina tsara ny dianao, anilanao
Tsy hanelingelina aho anilanao

Source: http://www.multimania.com/schmilblik/fitia.html        --------"
67,poopy,"Saino anie fa misy olo-marobe
Tsy fantany ny tokony alehany
Mila anao hanoro dia
Hitarika ny lalany
Mila anao manome
Hatsara ny hoaviny

Aoka re mba tsy hinia tsy handre
Ny antsony mitady vonjy aminao
Mila anao hanoro dia
Hitarika ny lalany
Mila anao manome
Hatsara ny hoaviny

Ka ho anao zay mahare zao antso izao
Tsotra anie izay andrasany aminao 
Aza avela hiady irery
Raha mbola misy azo atao
Mila namana izy ireo 
Hitarika ny lalany
Hahatsara ny hoaviny
Ho masoandrony.        --------"
68,poopy,"Misy loko maro
Toy ny lokon-danitra
izay milaza fa akaikiko foana ianao
loko manga io lokon’ny hatsarana
manambara fa feno fitiavana ny fianana
mahita maitso nomena toky teo
fitia balika nahatsapa fa hoe tianao

Maromaro e ny loko hitako
mandalo eo imasoko
maromaro anie satria miakina 
aminao fiovany e e e
sy ny dikany any koa

Mihamena izy eo 
toa  afo mirehitra
izay milaza fa nahasorena 
indray ianao
io mena io
lokon’ny hafanana
midika izy io
mangotrangotraka ny fo ao
Toa mihalavo
namitaka ahy anao
mihamaty izany
Raha toa ka tsy ao ianao

maromaro...        --------"
69,poopy,"Misy Antenaina (Poopy)

Zavatra hiainana toa mahafinaritra
Raha hidirana lalina toa zava-tsarotra!
Mahavery  fanahy mbola velona. Kanefa ô!
Tsy mahafohy azy ra-olombelona !
Izay ilay fiainana!
Mivezivezy lava, nefa toa tsy mety ampy ny eny an-tanany!
Mitotototo eny, izany hono no ataony satria tiany ny ainy!
Misimisy ihany ireo tsy ambinina amin’izany fa manam-bitana
Miady mafy ihany satria tsy hanam-piry izany aina!
O o o a a a a!
Fa izay rehetra velon’aina ô!
Mbola misy antenaina        --------"
70,poopy,"Zavatra iainana toa mahafinaritra
Raha hidirana lalina toa zava-tsarotra
Mahavery fanahy mbola velona
Kanefa o, tsy mahafoy azy raolombelona
Izany lay fiainana

Mivezivezy lava
Nefa toa tsy mety ampy ny eny an-tànany
Mitototo eny
Zany hono no ataony satria tiany ny ainy

Misimisy ihany
Ireo tsy ambinina amin’izany, fananam-bitana
Miady mafy ihany
Satria tsy ananam-piry izany aina

Fa izay rehetra velon’aina
Mbola misy antenaina        --------"
71,poopy,"Eny e! Anareo moa ny hery sy sandry
Anareo @ izany ny didy sy làlana
Very e! Tsisy intsony ny zoky sy zandry
Tsisy intsony fa niova indray ny fanajana
Sento, embonembona sisa no alefa
Efa niova tokoa ny fiainana taloha
Ventso, fa ny marina lasa nilefa
Ka tsy misy ny tsara eh raha tsy misy vola

Tsy afa-manoatra ho aiza moa ny tenakely
Tsy manantena ny mba handresy velively
Aleo mangina ihany aloha
F’izany tsara kokoa
Ilay ao ambony tsy andrinareo andrinay
Izy no marina izy no itokisanay
Tsy misy adino amin’ny fitsarany
Samia mizaka ny asany
Ny ratsy anie no tsy atao
Satria loza ho anao

(Interlude long)

Sento, embonembona sisa no alefa
Efa niova tokoa ny fiainana taloha
Vetso, fa ny marina lasa nilefa
Ka tsy misy ny tsara eh raha tsy misy vola

Tsy afa-manoatra ho aiza moa ny tenakely
Tsy manantena ny mba handresy velively
Aleo mangina ihany aloha
F’izany tsara kokoa
Ilay ao ambony tsy andrinareo andrinay
Izy no marina izy no itokisanay
Tsy misy adino amin’ny fitsarany
Samia mizaka ny asany
Ny tody anie no tsy antsoina
Satria mivaly ny atao

(Interlude long)

Tsy afa-manoatra ho aiza moa ny tenakely
Tsy manantena ny mba handresy velively
Aleo mangina ihany aloha
F’izany tsara kokoa
Ilay ao ambony tsy andrinareo andrinay
Izy no marina izy no itokisanay
Tsy misy adino amin’ny fitsarany
Samia mizaka ny asany
Ny ratsy anie no tsy atao
Satria loza ho anao

(Interlude court)

Ny tody anie no tsy antsoina
Satria mivaly ny atao

(Interlude court)

Eny e! Anareo moa ny hery sy sandry
Anareo @ izany ny didy sy làlana        --------"
72,poopy,"O ! ry velona rehetra, mandiniha sy mihevera
Mbola tia anao ny Ray, ka mamela ny hadisoanao
Aza ataonao tsinotsinona ny fitahiany,
Ndrao handatsa lahy, hanenina any aoriana
Fa saingy tara loatra

O ! ry velona rehetra, mandiniha sy mihevera
Mbola tia anao ny Ray, ka mamela ny hadisoanao
Aza ataonao tsinotsinona ny fitahiany,
Ndrao handatsa lahy, hanenina any aoriana
Fa saingy tara loatra

Ialao dieny izao, ny avonavon’ny fonao
Aza dia mirehareha amin’izay vitanao
Fa ho simba sy ho lavo, sy ahetriny ianao
Ary koa, hampijaliana noho ny toetra ratsinao

O ! ry velona rehetra, mandiniha sy mihevera
Mbola tia anao ny Ray, ka mamela ny hadisoanao
Aza ataonao tsinotsinona ny fitahiany,
Ndrao handatsa lahy, hanenina any aoriana
Fa saingy tara loatra

O ! ry velona rehetra, mandiniha sy mihevera
Mbola tia anao ny Ray, ka mamela ny hadisoanao
Aza ataonao tsinotsinona ny fitahiany,
Mitodiha ianao hanantona ny Ray
Fa izany no faniriany

Mihevera dieny izao, ny amin’ny hitsarana anao
Azonao antsaina ve ho aiza no alehanao ?
Manàna fanantenana, fiainana mandrakizay
Sa hijaly tsy ho afa-bela amin’ny afo mahamay

Mihevera dieny izao, ny amin’ny hitsarana anao
Azonao antsaina ve ho aiza no alehanao ?
Manàna fanantenana, fiainana mandrakizay
Sa hijaly tsy ho afa-bela amin’ny afo mahamay

O ! ry velona rehetra, mandiniha sy mihevera
Mbola tia anao ny Ray, ka mamela ny hadisoanao
Aza ataonao tsinotsinona ny fitahiany,
Mitodiha ianao hanatona ny Ray
Fa izany no faniriany        --------"
73,poopy,"Dada ô, miantso anao aho,
Neny ô, mba valio aho,
Tsy maintsy izao ve no niafarany,
Neny ô, mba valio aho.

Moa ve, tsy azo atao e,
Ilay hoe mifandamina e,
Hatramin’izay anie toa vita ihany,
O ry Dada ô, miantso anao aho.

Sitrakareo ve ny fahorianay,
Zakanareo ve ny alahelonay
Nahoana ianareo e, no tsy mijery,
Ny hoavinay re, Neny ô mba mihevera

Tsy misy hoe noterena,
Raha nanao ny fifanekena.
Atrehonareo re fa sitra-po ny anareo
O, Ndao re mba miverena.

Sitrakareo ve ny fahorianay,
Zakanareo ve ny alahelonay
Nahoana ianareo e, no tsy mijery,
Ny hoavinay? O, Dada ô mba mihevera

Tsy misy hoe noterena,
Raha nanao ny fifanekena.
Atrehonareo re fa sitra-po ny anareo
O, Ndao re mba miverena.

(feonkira)
Nahoana ianareo e, no tsy mijery,
Ny hoavinay? O, Ndao re mba miverena

Dada ô, miantso anao aho,
O ry Neny ô, mba valio aho,
Tsy maintsy izao ve no niafarany,
E e e, Ndao re mba miverena. (3)        --------"
74,poopy,"Na izaho na ianao
Nifankatia natao hoe
Ho mandrakizay
Teo aloha isika roa
Iray saina sady 
Iray koa ny fo 
Olon-droa moa 
Samy manana zo
Ny andraikitra 
Tsy hitovy avokoa
Sendra sampanana
Nizara ny lalana

refrain:mizora (oooo)
        aza miandry ahy
        veloma(oooo)
        soava tsara any

Lalànan’ny fiainana 
Izany hoy ianao
Tamiko nitomany
Nandramantsika
Ny namerina izany
Ilay fitiavana
Nakararirary ahy
Ilay fitiavana 
Tsy mba natao ho ahy

Fa nahoana 
Izaho manotany
Fa nahoana 
No tsy misy mamaly
Miankavia miankavanana
Mitady ireo izay ho namana
Niandry anao miandry anao

refrain(2)

                (album Tahak’izay)        --------"
75,poopy,"Tsy navelanao ho irery aho 
Fa ny tananao no nitantana ahy
Na tamin’ny mafy indrindra aza, 
Tsy nanary Ianao
Nasehonao fa Ianao no Mpiahy. 

Tsy navelanao ho irery aho 
Na tsy mendrika ny hotantananao
Fa dia notsimbininao
Sambatra aho fa ianao no Mpiahy

Fa ambony indrindra ny fitiavanao
Ka ny taratrao no mitsinjo ny dia
He, izay tsy mety tsy notananao 
Satria Ianao be fitia
Satria Ianao no Mpiahy ! 

Tsy navelanao ho irery aho 
Na navesatra aza ny natao ahy
Izany indrindra no nanehoanao 
Fa Ianao be fitia, 
Ianao no Mpiahy

Fa tsy nohazoninao noho ny heloko
Ny voninahitrao no indro miseho
Lehibe ny fitiavanao, izaho mino Anao
Hé sambatra aho fa Ianao no Mpiahy ! 

Tsy ho faty eo imolotro
Izay nody natolotro
Ianao no Mpanavotra ahy
Ka ny ora sy ny androko
Dia mbola isaorako ny Anaranao ! 

Satria Ianao no Mpiahy !        --------"
76,poopy,"Aleo hitabataba 
Aleo hivazavaza 
Rehefa leo ve tsy hangina 
Ho vizana, ho sina 

Ny làlantsika roa e, 
Tsy hiato, hitohy hatrany. 
Tsy misy hamakiana loha é, 
Fa aleo izay ho avy dia ho avy ! 

Ref : Na tsara aza ataonao, 
Hovoakina foana ianao 
Ireo tsy tia sy mpankahala 
Ho eo foana hanadala
Aleo mandroso foana 
‘Zay vavany tsy ahona 
N’aiza n’aiza eto an-tany 
Fomban-javatra izany

N’inona n’inona hitranga 
Na ny lanitra ho manga 
Na ho maloka mangina, 
Ianao ‘lay mpanazava

Raha jereko ny andro lasa 
Tao ny tsiky, tao ny ratra 
Nefa ianao ‘lay mpampahery 

N’inona n’inona hitranga, Jeso 
N’inona n’inona 
Izy antsoina é ! 
N’inona n’inona hitranga, Jeso 
N’inona n’inona 
Izy eo foana a ! 

http://tarikazay.alterlinks.com/Ninonahitranga.htm        --------"
77,poopy,"NAMAKO

              
               Ity hira iray ity ; antso ho anao
               Mba hamoha ilay varavarana misakana
               Ity hira iray ity ; antso ho anao
               Mba hanohina ny feon’ireo namana
               Mitady anao

               
                Ny hazo tokana hono tsy ala
                Tolory ny tananao
                 Isika hifampitantana, tsy hifankahala
                 Hihavana izaho sy ianao
                 Ka na inona mety hitranga ao
                 Ho sedraintsika miaraka
                 Satria namako ianao


                  Ity hira iray ity ; no entina
                  Hanamafy eto indray ny fiarahana sy fitiavana
                  Ny tanantsika ho fototra 
                  Hifandray ka hiara-hamaritra
                  Ny ho lalana

                  Ny fahoriana raha toa ka zaraina
                  Ho maivana
                  Ary ny fifaliana hiarahana manana

                                               Poopy (1991)        --------"
78,poopy,"Yeu,yeu,yeoua
Tsy maintsy handeha,handeha ho any
Yeu,yeu,ndeha ho aiza
Yeu,yeu ndeha ho any

Tsy andry ny andro tsy hianarana
Hifanena amin’ny namana
Izay atao tsy mbola fantatra
Rehefa mihaona vao mamantatra

Ny sasany milaza te handihy
Hijery izay mba tsy fahitany
Ny hafa indray te hiodikodina
Hitazana ny manodidina
Yeu,yeu,yeoua
Ndao ary e!

Ny haingo aloha tsy asiana resaka
Nandaniana vola betsaka
Ny any am-paosy tsy tenenina
Raha kelikely dia afenina


Isika kosa hanao inona
Hivoaka ihany sa hijanona
Handihy aloha avy eo dia miodina
Aleo manainga f’efa dodona
Yeh!yeh!yeoua!
Yeu,yeu ndao ary e!        --------"
79,poopy,"Andro fifaliana no hiarahana eto anio
Raha sendra olana aza ianao dia itsikio
Ho hadino indray ka tsy hotsaroana
Ireo sorisory hisolo haravoana

Aoka hivalona any ny henatrao anio
Ny fo sy saina ho ravoravo sy hadio
Hitotorebika ary koa hilanonana
Ka ho afa-tsasatra tsy ho torovana

Andao handihy sy hifaly havanja koa
Ora mamy no hozaraina eto androany
Mifalia mitsikia sy miravoa
Hadinoy izay alahelonao

Ndao handihy,hiriaria
Ravoravo sy miramirana        --------"
80,poopy,"Maika maika ahita anao ‘zaho
Efa ela aho no miandry anao
Maika maika ahita anao ‘zaho
Mafimafy ery ny fidiboky ny fo

Aza mody mampifila hoy aho
Za efa ela no manina
Tsikinao sy ny tananao 
No atolory dia sambatra aho

An han… !!!
Faly ravo andray anao ‘zaho
Mientanentana ery ity foko
Faly ravo ho raisinao  ‘zaho
Efa ela loatra aho no miandry an’izao

Aza mody mampifila hoy aho…
…no atolory dia sambatra aho  (x2)

Izaho tsy hiala eo
Izaho tsy ho leo
Efa ela loatra eh !
No niandrasako an’izao

Eka ! ngoma ‘zaho !! eka !!
Ela ! miandry anao ‘zaho !! ela !!
Eka ! ngoma ‘zaho !! eka !!
Ela ! miandry anao ‘zaho !! ela an an an !!!
 (mafana ve ?)

Aza mody mampifila ho aho…
…no atolory dia sambatra aho (x3)        --------"
81,poopy,"Ny teninao raha misy mahasorena
Hilaozanao, havelanao irery aho
Izaho foana hoy ianao ni tsy hahasaraka
Fa ianao efa tofoka sy lao

Zary lasa fafinaretana
Ny mandratra amin'ny teny maharary
Tsapako amin'izao tsy misy intsony ao
Ilay fitia fa nisy fetra ny ho doria

Chorus:
Toa rakibolana vaovao (indray) no ampiasainao
Ts'isy izay tsy niova tao
Na ny dikan'ny hoe ""tia""
Niova lasa ""leo""
Ny mandrakizay toa tapitra hatreo

Na izaho aza miombon-kevitra aminao
Toa tsy laitra intsony raha mbola hikiry sy hifikitra aho
Nanapaka hevitra aho f'izaho no handao anao
F'efa lao noho ny fandrahonanao

Aleo hatao mitovy ny fijery
Amin'izay izaho tsy ho irery
Tsy ho ilay tavela teo, nangaina, nitoreo
F'efa nahafoy sy sahy nandao anao

Bridge:
Tsofiko rano hahita soa
Avelao aho mba hilamina ts'isy toreo

Auteur: Poopy
Compositeur/arrangeur: Naivo        --------"
82,poopy,"Hafa ery, izay tondron`ny tanany
Dia hafa koa ny alehany
Dia aza manahy ianao ,hoy izy ery
Hafa ery ,izay ambarambarany
Sy izay notanterahiny
Dia aza manahy hoy izy
Vao nanomboka moa ,jambany ny fonao,resiny ianao
Kanjo taty aoriana ,nahita mangina ,ny fijerinao
 REF :  Zary nofinofy sisa ireo lokaloka nataony taminao
           Toa zary maina sady ritra ny fanantenana teo
           Toa sangy ratsy
           Isarangotra amin`iza?
           Izy aza toa manodina ny lohany
           Ny hany herinao sisa mampionona ny fonao ooo
Hafa ery,ny tena hoe mpifankatia
Sy ny hoe toa sarintsariny,toa tonga saina ianao
Hafa koa,fiarahana kitoatoa
Mandany andro tsy mahasoa
Toa tonga saina ianao
Vao nanomboka moa,jambany ny fonao,resiny ianao
Fa tsikaritrao mangina, taty aoriana,toa kilalao
    ( REF)        --------"
83,poopy,"NONO (Poopy)


1
Raha tena tia ny zanany
Tiana ho salama ny taranany
Dia ny nonon-dreny ihany no tena tsara


2
Raha te-hilamina ny fiainanao
Omeo nonon-dreny ny zanakao
Tsy ianao ihany ve no faly
Raha salama ohatr’izany

Raha te-hilamina ny sainao
Omeo nonon-dreny ny zanakao
Tsy ianao ihany ve no faly
Raha salama ohatr’izany


Réf:
Jereo fa salama isika
Ny nonon’ny Mama tsy misy tomika
Jereo fa salama isika
Ny nonon’ny Mama tsy misy tomika


Raha te-hilamina ny sainao
Omeo nonon-dreny ny zanakao
Tsy ianao ihany ve no faly
Raha salama ohatr’izany

Raha te-hilamina ny sainao
Omeo nonon-dreny ny zanakao
Tsy ianao ihany ve no faly
Raha salama ohatr’izany        --------"
84,poopy,"Raha maniry ny an’ny hafa
Asandrato ny an’ny tena 
Ahindrahindrao mba ho ren’ny maro 
Ny an’ny tena tsy atakalo
Fa tsara e! tsara !

Maro ny dihy ao ny antsapika
Latsy tànana sy ny sisa
Maro izy ireo tsy ho voatanisa 
Ny salegy tsy adinon-tsika
Tsara e! tsara !

Fa tsy ambakan’ny hafa
Tsy avela ho an’ny hafa
Fa antsika io e!
Tsy avela, tsy avela ho an’ny ny hafa
Tsy ambakan’ny hafa
Fa antsika io e!

Isika anio no tafaraka eto
Haneo koa ny kanton-tsika
Andao ary hihetsika mba ho hita
Misy lanjany koa ny antsika
Aiza e! aiza e!

  Ie! e! salegy e! Ie! e ny antsika !
             (1992)        --------"
85,poopy,"Ny  HERINAO

               Tony ianao
                Na dia maro aza ny nanjo anao
                Na nanonja aza tao anatinao
                Ka tihina ny eritreritra
                Izay no tena herinao
                Tony ianao
                 Fantatrao fa izay teny natao
                 Mety haningotra anao
                 Ka nangina ianao
                 Nalefitrao ny hatezeranao
                 Izay no tena herinao

                        Ny fahanginanao 
                        No hery sy andry nijoroanao
                        Fa raha nangina ianao
                        Tsy resy akory amin’ny fiainanao
                         Izany indrindra no tena herinao

                   Fantatrao fa
                   Tsy natao ho anjaranao
                    Ny hitsaratsara izay natao anao
                    Naleonao nipetraka, nangina
                    Izay no tena herinao

                    Ny fahanginanao
                    No hery sy andry nijoroanao 
                    Fa raha nangina ianao
                    Tsy resy akory amin’ny fiainanao
                     Izany indrindra no tena herina

                              Izany indrindra no tena herinao

                                                                          Poopy(1991)
                                                  --------"
86,poopy,"Ny Hira


              Izay tebiteby nanavesatrra ahy
              Nanamaizina ny androm-piainako
              No nataoko ho hira mba hanampy indray
              Hanamaivana ny ao am-po

                     Ny fahasoavana nomena ahy
                     Ka naha-mirana ny androm-piainako
                     Dia efa nataoko ho hira
                     Ho zaraiko aminao anio

                 Hira iray, hery iray
                 Entina mibanjina iny lanitra iny mba ho manga
                 Hira iray, hery iray
                 Foana ny tarainako
                 Hirahira no manjaka anatiko

                  Ny fifaliana lafatra ary ny alahelo sasatra
                  Rehefa samy mba natao an-kira
                  Toy ny inona ny fiainana,ny jaly sy ny tarainana   
                   Raha tsy teo ny hira nandresena azy ireo

                         Izay tebiteby nanavesatra ahy
                         Nanamaizina ny andro-piainako
                         No nataoko ho hira mba hanampy indray
                         Hanamaivana ny ao am-po

                    Ny kalom-pifaliana sy ny hiram-pijaliana
                    Samy fomba enti-miatrika ny làlana
                    Ho maivana ny vesatra
                    Ny henjana ho ketraka
                    Raha hira no handaminana ny fiainana             
                              
        
                                                          Poopy (1991)        --------"
87,poopy,"Efa fantatrao saingy inianao
Ka izany no mahavariana ahy
Fa mifototra aminao ny ataonao
Tsy zakanao

  Raha ny marina no sahy vonoinao
  Dia hangina ka tsy hiteny aho
  Sahinao ny milaza imaso
  Tsy ianao no diso
  Fa izy ny ankaso

Ny faniriana mbola hifankahita
Hiandry ny marina eny isika
Satria aho mino
Fa na mbola ho ela
Ny marina
Tsy ho resin’ny aizina

         Poopy (1994)        --------"
